title,link,sentiment
Week of the wonderkids - who shone in Champions League?BBC Sport looks at the emerging wonderkids that announced themselves as Europe's brightest stars in the Champions League this week.,https://bbc.com/sport/football/articles/c0jdznn48q3o,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.8957}"
Kane can't stop scoring - is the Ballon d'Or within reach?,https://bbc.com/sport/football/articles/c9v1y2n8ry7o,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.2472}"
Why Messi's MLS legacy needs play-off triumph,https://bbc.com/sport/football/articles/cly4npeylx4o,"{'neg': 0.0, 'neu': 0.659, 'pos': 0.341, 'compound': 0.4767}"
England win series v NZ after rain ruins third T20,https://bbc.com/sport/cricket/articles/c993prjzp1no,"{'neg': 0.212, 'neu': 0.511, 'pos': 0.277, 'compound': 0.2263}"
Latest Sport audio,https://www.bbc.com/audio/category/sport,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Rugby League Top 10sRugby League Top 10: Aussie, Aussie, Aussie",https://bbc.com/audio/play/p0m9ppn2,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.3818}"
Football DailyUCL Debrief: Liverpool end winless run as Chelsea’s teenagers shine,https://bbc.com/audio/play/p0mb6qj3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Rugby Union WeeklyEmily Scarratt special,https://bbc.com/audio/play/p0mb4qsm,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}"
Football Daily72+ EFL Pod: Norwich nosedive & Sheff Wed waiting game,https://bbc.com/audio/play/p0mb443z,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
More Than The ScoreShould football clubs stop freezing out unwanted players?,https://bbc.com/audio/play/p0mb32s6,"{'neg': 0.407, 'neu': 0.593, 'pos': 0.0, 'compound': -0.5423}"
FPL Podcast from BBC SportShould we banish Joao Pedro?,https://bbc.com/audio/play/p0m9yfy9,"{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.4404}"
Football DailyUCL Debrief: A faultless night for Premier League sides in Europe,https://bbc.com/audio/play/p0m9z9mj,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4588}"
BBC Women's Football WeeklyJess Fishlock's Wales legacy & Kirsty Howat on Scotland ambitions,https://bbc.com/audio/play/p0m9xq28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Tech,https://www.bbc.com/innovation/technology,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Amazon apologises to customers impacted by huge AWS outageA ""faulty automation"" was at the core of the issues that caused knock-on effects for more than one thousand sites on Monday, an expert told the BBC.",https://bbc.com/news/articles/cvgvnp77dy9o,"{'neg': 0.059, 'neu': 0.793, 'pos': 0.148, 'compound': 0.3612}"
What's the best way to detect and destroy drones?,https://bbc.com/news/articles/cy40yjz10ydo,"{'neg': 0.238, 'neu': 0.476, 'pos': 0.286, 'compound': 0.1779}"
How the rise of green tech is feeding another environmental crisis,https://bbc.com/news/articles/c30741j351go,"{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.6249}"
'Disgraceful' deep-fake AI video condemned by presidential candidate,https://bbc.com/news/articles/czxkn504lqpo,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}"
Science & health,https://www.bbc.com/innovation/science,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
What lies behind the global drug shortage crisisPersistent shortages of popular drugs are affecting millions of patients worldwide. What lies behind it?,https://bbc.com/future/article/20251021-why-youre-having-trouble-getting-your-meds,"{'neg': 0.317, 'neu': 0.586, 'pos': 0.097, 'compound': -0.6597}"
Effects of antidepressants on physical health ranked for first time,https://bbc.com/news/articles/c9d65nqgd5zo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Can shampoo repair hair? Four haircare myths get the chop,https://bbc.com/news/articles/c0lkrnzpzl1o,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
UK adds eight countries to methanol poisoning warning list,https://bbc.com/news/articles/c33p7vvyp2zo,"{'neg': 0.47, 'neu': 0.53, 'pos': 0.0, 'compound': -0.7351}"
Culture,https://www.bbc.com/culture,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Tess Daly and Claudia Winkleman to leave Strictly Come DancingThe pair have presented the show together since 2014 and said hosting the show had been ""an absolute dream.""",https://bbc.com/news/articles/cz0x1lr7j92o,"{'neg': 0.043, 'neu': 0.957, 'pos': 0.0, 'compound': -0.0516}"
How cult horror film Re-Animator pushed the limits of gore,https://bbc.com/culture/article/20251021-how-cult-horror-re-animator-pushed-the-limits-of-gore,"{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.5719}"
Sam Ryder: I felt I was worthless,https://bbc.com/news/articles/cj0e2n69gv9o,"{'neg': 0.42, 'neu': 0.58, 'pos': 0.0, 'compound': -0.4404}"
Agatha Christie meets Mr Men in new children's books,https://bbc.com/news/articles/cdx42rv2wgqo,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Arts,https://www.bbc.com/arts,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Why Mr Darcy isn't the romantic hero he seemsMostly miserable and even ""unforgivably cruel"", Jane Austen's famous romantic hero is not what he seems, writes the author Sebastian Faulks, in an exclusive extract.",https://bbc.com/culture/article/20250908-why-readers-are-wrong-about-mr-darcy,"{'neg': 0.322, 'neu': 0.642, 'pos': 0.036, 'compound': -0.9014}"
The art museum entirely dedicated to cats,https://bbc.com/reel/video/p06kws0b/the-art-museum-entirely-dedicated-to-cats,"{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.5095}"
18 of the best books of 2025 so far,https://bbc.com/culture/article/20250619-the-best-books-of-2025,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}"
Why art robberies exploded in the 20th Century,https://bbc.com/culture/article/20251016-the-reason-art-heists-exploded-in-the-1970s,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Watch,https://www.bbc.com/video,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"The Japanese secret to being calmer and happierIn the village of Magome, a 16th-century discipline leads to a sharper focus on the present moment.See more",https://bbc.com/reel/video/p0m8l4lt/the-japanese-secret-to-being-calmer-and-happier,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3612}"
Travel,https://www.bbc.com/travel,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Why luxury travellers pay to work for their dinnerSome high-end tourists are turning to posh properties where they can fish, forage and harvest their meals – and immerse themselves in local culture in the process.",https://bbc.com/travel/article/20251021-why-luxury-travellers-are-paying-to-work-for-their-dinner,"{'neg': 0.041, 'neu': 0.959, 'pos': 0.0, 'compound': -0.1027}"
What it's like to live in the world's smartest cities,https://bbc.com/travel/article/20251020-what-its-like-to-live-in-the-worlds-smartest-cities,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7579}"
A Zen monk's guide to the best gardens in Tokyo,https://bbc.com/travel/article/20251016-a-zen-monks-guide-to-the-best-gardens-in-tokyo,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}"
A US island with no cars and 600 horses,https://bbc.com/travel/article/20250425-the-us-island-where-cars-are-banned,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}"
World's Table,https://www.bbc.com/travel/worlds-table,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
